col_name,long_name,unit,ID,vcoord,hcoord,var,tp_def,rel_to_tp,model,pvu,crit,var1,var2,tp_order
h_rel_TP,Geopotential height above O3 tropopause according to Zahn et al. (2003),km,INT,z,,,chem,TRUE,MSMT,,,,,0
h_TP,Geopotential height of O3 tropopause according to Zahn et al. (2003),km,int_calc,z,,,chem,FALSE,MSMT,,o3,,,0
p_dtrop_hpa,Pressure of dynamical (PV=3.5PVU) tropopause (ECMWF) ,hPa,int_calc,p,,p,dyn,FALSE,ECMWF,3.5,,p,dp_dtrop_hpa,0
p_strop_hpa,Pressure of thermal tropopause (ECMWF),hPa,int_calc,p,,p,therm,FALSE,ECMWF,,,p,dp_strop_hpa,0
pt_dTP_K,Potential temperature of dynamical (PV=3.5PVU) tropopause (ECMWF) ,K,int_calc,pt,,pt,dyn,FALSE,ECMWF,3.5,,Tpot,pt_rel_dTP_K,0
pt_rel_dTP_K,Potential temperature difference relative to dynamical (PV=3.5PVU) tropopause from ECMWF,K,INT,pt,,pt,dyn,TRUE,ECMWF,3.5,,,,0
pt_rel_sTP_K,Potential temperature difference relative to thermal tropopause from ECMWF,K,INT,pt,,pt,therm,TRUE,ECMWF,,,,,0
pt_sTP_K,Potential temperature of thermal tropopause (ECMWF) ,K,int_calc,pt,,pt,therm,FALSE,ECMWF,,,Tpot,pt_rel_sTP_K,0
PV,PV from ECMWF (integral),PVU,INT,,,pv,,,ECMWF,,,,,
ToAirTmp,Total Air Temperature # Celsius-temperature-scale,degC,INT,,,t,,,ECMWF,,,,,
Tpot,potential temperature derived from measured pressure and temperature,K,INT,pt,,,,,MSMT,,,,,
z_dTP_km,Geopotential height of dynamical (PV=3.5PVU) tropopause (ECMWF),km,int_calc,z,,z,dyn,FALSE,ECMWF,3.5,,z_km,z_rel_dTP_km,0
z_km,Geopotential height of sample from ECMWF (with g=9.81 m/s^2),km,INT,z,,z,,,ECMWF,,,,,
z_rel_dTP_km,Geopotential height relative to dynamical (PV=3.5PVU) tropopause from ECMWF,km,INT,z,,z,dyn,TRUE,ECMWF,3.5,,,,0
z_rel_sTP_km,Geopotential height relative to thermal tropopause from ECMWF,km,INT,z,,z,therm,TRUE,ECMWF,,,,,0
z_sTP_km,Geopotential height of thermal tropopause from ECMWF,km,int_calc,z,,z,therm,FALSE,ECMWF,,,z_km,z_rel_sTP_km,0
latitude,track latitude,degrees_north,EMAC,,lat,,,,EMAC,,,,,
latitude_degN,latitude,degrees_north,,,lat,,,,MSMT,,,,,
lev,hybrid level at layer midpoints,level,EMAC,lev,,,,FALSE,EMAC,,,,,
longitude,track longitude,degrees_east,EMAC,,lon,,,,EMAC,,,,,
longitude_degE,longitude,degrees_east,,,lon,,,,MSMT,,,,,
MMS_ALT,GPS Altitude,m,MMS,z,,,,,MSMT,,,,,
MMS_LAT,GPS Latitude,degrees_north,MMS,,lat,,,,MSMT,,,,,
MMS_LON,GPS Longitude,degrees_east,MMS,,lon,,,,MSMT,,,,,
MMS_PRESS,Static pressure,hPa,MMS,p,,,,,MSMT,,,,,
MMS_TEMP,Static temperature,K,MMS,,,t,,,MSMT,,,,,
MMS_THETA,Potential temperature ,K,MMS,pt,,,,,MSMT,,,,,
N2O,Pseudo coord: N2O mixing ratio,ppb,calc,mxr,,,chem,FALSE,MSMT,,n2o,,,0
N2O_baseline,N2O mixing ratio of the statistical baseline value,ppb,GHG,mxr,,,chem,FALSE,MSMT,,n2o,,,0
N2O_residual,Difference between N2O measurement and the corresponding baseline value,ppb,GHG,mxr,,,chem,TRUE,MSMT,,n2o,,,0
NWAS_N2O,Nitrous oxide from flask (N2O - NWAS),ppb,NWAS,mxr,,,chem,FALSE,MSMT,,n2o,,,0
p,pressure (mean value),mbar,,p,,,,FALSE,MSMT,,,,,
